City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
5,Takoradi,GH,78.12,broken clouds,4.8845,-1.7554,Raybow International Hotel
6,Soure,BR,80.47,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
9,Hithadhoo,MV,82.24,overcast clouds,-0.6,73.0833,Scoop Guest House
10,Mogadishu,SO,78.6,overcast clouds,2.0371,45.3438,Hotel Juba
12,Souillac,MU,77.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
17,Port Hedland,AU,82.45,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
28,Kinablangan,PH,85.42,clear sky,7.6947,126.5503,Danny Moreno Property
33,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Atuona,PF,78.39,clear sky,-9.8,-139.0333,Villa Enata
46,Vaini,TO,78.96,moderate rain,-21.2,-175.2,Keleti Beach Resort
47,Bandarbeyla,SO,76.69,broken clouds,9.4942,50.8122,JABIR HOTEL
50,Afonso Bezerra,BR,76.96,few clouds,-5.4983,-36.5056,Pousada Shammah
56,Hobyo,SO,78.84,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
63,Rikitea,PF,75.54,light rain,-23.1203,-134.9692,People ThankYou
67,Luanda,AO,75.09,overcast clouds,-8.8368,13.2343,Hotel Fórum
70,Amahai,ID,86.83,few clouds,-3.3333,128.9167,HOTEL ISABELA
71,Santa Rosa,PH,87.12,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
82,Bintulu,MY,82.81,few clouds,3.1667,113.0333,900 Boutique INN
84,Bouna,CI,76.3,few clouds,9.2667,-3.0,Hotel Reserve
87,Faanui,PF,79.52,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
105,Kourou,GF,81.1,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
106,Emerald,AU,86.14,light rain,-23.5333,148.1667,The Irish Village
111,Butaritari,KI,82.06,few clouds,3.0707,172.7902,Isles Sunset Lodge
114,Roebourne,AU,84.63,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
117,Bambanglipuro,ID,83.79,overcast clouds,-7.95,110.2833,Puri Brata
118,Cabo San Lucas,MX,80.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
119,Karratha,AU,81.55,clear sky,-20.7377,116.8463,ibis Styles Karratha
125,Kavieng,PG,85.12,light rain,-2.5744,150.7967,Nusa Island Retreat
127,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
132,Mahebourg,MU,77.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
134,Galesong,ID,86.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
137,Bagotville,AU,80.42,overcast clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
145,Lorengau,PG,83.03,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
150,Dicabisagan,PH,83.3,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
152,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
153,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
154,Nicoya,CR,78.35,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
157,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
163,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
176,Kita,ML,77.72,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
177,Muli,MV,82.74,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
178,Itarema,BR,78.37,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
180,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
182,Yeppoon,AU,87.58,broken clouds,-23.1333,150.7333,Villa Mar Colina
186,Coruripe,BR,76.41,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
188,San Pedro,PH,86.36,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
191,Quatre Cocos,MU,77.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
192,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
193,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
199,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
201,Sompeta,IN,75.79,broken clouds,18.9333,84.6,Netaji's Home
206,Indramayu,ID,83.79,moderate rain,-6.3264,108.32,Grand Trisula Hotel
207,Dingle,PH,86.22,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
208,Tual,ID,84.79,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
209,Kaffrine,SN,76.01,broken clouds,14.1059,-15.5508,Beuleup counda motel
215,Kudahuvadhoo,MV,82.85,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
220,Sinnamary,GF,78.98,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
222,Tevaitoa,PF,78.73,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
223,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
229,Bambous Virieux,MU,77.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
233,La Primavera,CO,78.13,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
237,Poso,ID,87.58,broken clouds,-1.3959,120.7524,Hotel 77 Poso
241,Castanas,PH,86.09,broken clouds,13.8822,121.5517,The Ponce Farm
242,Zihuatanejo,MX,78.78,broken clouds,17.6333,-101.55,La Casa Que Canta
243,Nakhon Thai,TH,85.19,few clouds,17.1006,100.8374,Phet resort
244,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
245,Marawi,PH,76.64,scattered clouds,7.9986,124.2928,Derogongan Residence
257,Totness,SR,78.44,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
262,Alofi,NU,78.69,light rain,-19.0595,-169.9187,Taloa Heights
266,Hervey Bay,AU,80.04,light rain,-25.2986,152.8535,Shelly Bay Resort
270,Salalah,OM,75.65,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
276,Taitung,TW,82.67,scattered clouds,22.7583,121.1444,Taitung Bali Suites Hotel
277,Pangai,TO,75.31,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
281,Nelson Bay,AU,77.76,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
285,Biak,ID,83.71,overcast clouds,-0.9131,122.8766,Penginapan Kim
286,Honiara,SB,85.57,broken clouds,-9.4333,159.95,Heritage Park Hotel
293,Brazzaville,CG,77.31,light rain,-4.2658,15.2832,Hotel Muesse
297,Nakhon Nayok,TH,88.02,broken clouds,14.1667,101.1,ห้างหุ้นส่วนจำกัด เอสพีรีสอร์ท
304,Islamkot,PK,78.46,broken clouds,24.6997,70.177,Haji Hotel
