City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ferrol,ES,2021-11-08 02:47:23,43.4832,-8.2369,55.72,81,95,4.23,overcast clouds
1,Pisco,PE,2021-11-08 02:45:49,-13.7,-76.2167,65.01,82,0,5.75,clear sky
2,Tasiilaq,GL,2021-11-08 02:47:24,65.6145,-37.6368,26.76,75,100,5.97,overcast clouds
3,Batagay,RU,2021-11-08 02:47:24,67.6333,134.6333,-13.29,85,34,5.77,scattered clouds
4,Castro,BR,2021-11-08 02:47:18,-24.7911,-50.0119,58.82,96,88,6.89,overcast clouds
5,Takoradi,GH,2021-11-08 02:47:24,4.8845,-1.7554,78.12,88,77,6.96,broken clouds
6,Soure,BR,2021-11-08 02:47:25,-0.7167,-48.5233,80.47,78,59,7.67,broken clouds
7,Obo,CF,2021-11-08 02:47:25,5.3998,26.4869,67.59,97,96,3.51,overcast clouds
8,Dikson,RU,2021-11-08 02:47:25,73.5069,80.5464,9.36,95,100,0.98,overcast clouds
9,Hithadhoo,MV,2021-11-08 02:47:26,-0.6,73.0833,82.24,72,98,13.0,overcast clouds
10,Mogadishu,SO,2021-11-08 02:47:26,2.0371,45.3438,78.6,78,100,8.99,overcast clouds
11,Punta Arenas,CL,2021-11-08 02:42:57,-53.15,-70.9167,42.91,70,40,9.22,scattered clouds
12,Souillac,MU,2021-11-08 02:47:27,-20.5167,57.5167,77.36,83,40,8.05,scattered clouds
13,Esil,KZ,2021-11-08 02:47:27,51.9556,66.4042,32.09,42,96,14.58,overcast clouds
14,Almaznyy,RU,2021-11-08 02:47:27,48.0448,40.045,32.14,65,94,6.15,overcast clouds
15,Simao Dias,BR,2021-11-08 02:47:28,-10.7383,-37.8111,72.32,92,41,3.74,scattered clouds
16,Ushuaia,AR,2021-11-08 02:47:28,-54.8,-68.3,42.46,75,40,8.05,scattered clouds
17,Port Hedland,AU,2021-11-08 02:47:28,-20.3167,118.5667,82.45,54,30,19.57,scattered clouds
18,Pevek,RU,2021-11-08 02:47:29,69.7008,170.3133,8.06,90,100,8.14,overcast clouds
19,Hobart,AU,2021-11-08 02:45:57,-42.8794,147.3294,68.02,45,75,1.01,broken clouds
20,Jamestown,US,2021-11-08 02:47:27,42.097,-79.2353,47.71,83,1,1.01,clear sky
21,Terney,RU,2021-11-08 02:47:29,45.0503,136.6092,45.23,34,91,3.49,overcast clouds
22,Bluff,NZ,2021-11-08 02:47:30,-46.6,168.3333,61.5,64,88,9.91,overcast clouds
23,Honningsvag,NO,2021-11-08 02:47:30,70.9821,25.9704,29.8,94,100,6.04,light snow
24,Hermanus,ZA,2021-11-08 02:47:30,-34.4187,19.2345,57.9,73,56,3.78,broken clouds
25,Severo-Yeniseyskiy,RU,2021-11-08 02:47:31,60.3725,93.0408,26.49,88,100,14.43,overcast clouds
26,Vardo,NO,2021-11-08 02:47:31,70.3705,31.1107,31.3,60,98,16.6,overcast clouds
27,Morros,BR,2021-11-08 02:47:31,-9.4467,-46.3003,71.06,91,99,1.05,light rain
28,Kinablangan,PH,2021-11-08 02:47:32,7.6947,126.5503,85.42,71,7,4.65,clear sky
29,Severo-Kurilsk,RU,2021-11-08 02:47:32,50.6789,156.125,36.77,68,99,22.28,overcast clouds
30,Basoko,CD,2021-11-08 02:47:32,1.2391,23.616,72.43,95,99,1.88,overcast clouds
31,Mezhdurechenskiy,RU,2021-11-08 02:47:33,59.6,65.9333,32.68,98,100,9.08,light snow
32,Juneau,US,2021-11-08 02:45:03,58.3019,-134.4197,33.22,93,40,0.0,scattered clouds
33,Kapaa,US,2021-11-08 02:47:33,22.0752,-159.319,84.18,71,40,3.0,scattered clouds
34,Khatanga,RU,2021-11-08 02:47:34,71.9667,102.5,7.84,95,99,11.45,overcast clouds
35,Nikolskoye,RU,2021-11-08 02:47:34,59.7035,30.7861,37.87,97,100,9.73,moderate rain
36,Hilo,US,2021-11-08 02:47:34,19.7297,-155.09,74.93,87,90,5.75,light rain
37,Atuona,PF,2021-11-08 02:47:29,-9.8,-139.0333,78.39,75,9,16.71,clear sky
38,Guerrero Negro,MX,2021-11-08 02:47:35,27.9769,-114.0611,65.08,84,99,9.62,overcast clouds
39,The Pas,CA,2021-11-08 02:47:35,53.8251,-101.2541,32.02,93,20,3.44,few clouds
40,Chapais,CA,2021-11-08 02:47:35,49.7834,-74.8492,40.78,98,100,5.86,overcast clouds
41,Christchurch,NZ,2021-11-08 02:43:17,-43.5333,172.6333,67.48,73,90,4.0,overcast clouds
42,Albany,US,2021-11-08 02:43:18,42.6001,-73.9662,39.81,74,10,4.14,clear sky
43,Ribeira Grande,PT,2021-11-08 02:47:36,38.5167,-28.7,69.4,85,43,24.18,scattered clouds
44,Litovko,RU,2021-11-08 02:47:36,49.2361,135.1742,28.49,45,100,3.87,overcast clouds
45,Mataura,NZ,2021-11-08 02:47:23,-46.1927,168.8643,72.9,40,100,1.14,overcast clouds
46,Vaini,TO,2021-11-08 02:48:37,-21.2,-175.2,78.96,94,75,5.75,moderate rain
47,Bandarbeyla,SO,2021-11-08 02:48:37,9.4942,50.8122,76.69,70,80,8.48,broken clouds
48,Kirgiz-Miyaki,RU,2021-11-08 02:48:38,53.6324,54.7979,30.36,93,51,5.75,broken clouds
49,Cape Town,ZA,2021-11-08 02:46:08,-33.9258,18.4232,59.11,73,0,3.0,clear sky
50,Afonso Bezerra,BR,2021-11-08 02:48:38,-5.4983,-36.5056,76.96,79,16,10.31,few clouds
51,Ariquemes,BR,2021-11-08 02:48:39,-9.9133,-63.0408,71.56,98,97,2.26,overcast clouds
52,Puerto Ayora,EC,2021-11-08 02:48:39,-0.7393,-90.3518,69.51,81,45,8.12,scattered clouds
53,Lindi,TZ,2021-11-08 02:48:39,-10.0,39.7167,72.48,88,63,1.59,broken clouds
