City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ribeira Grande,PT,11/7/2021 0:33,38.5167,-28.7,69.73,88,92,27.51
1,Rio Cuarto,AR,11/7/2021 0:29,-33.1307,-64.3499,55.17,67,40,10.36
2,Puerto Ayora,EC,11/7/2021 0:33,-0.7393,-90.3518,69.37,77,49,9.73
3,Cairns,AU,11/7/2021 0:33,-16.9167,145.7667,90.95,62,40,5.75
4,La Ronge,CA,11/7/2021 0:33,55.1001,-105.2842,37.65,93,90,2.3
5,Zaraza,VE,11/7/2021 0:33,9.3503,-65.3245,77.41,79,89,5.61
6,Punta Arenas,CL,11/7/2021 0:33,-53.15,-70.9167,50.11,81,90,9.22
7,Caravelas,BR,11/7/2021 0:33,-17.7125,-39.2481,72.86,79,71,6.35
8,Yellowknife,CA,11/7/2021 0:30,62.456,-114.3525,31.41,90,75,9.22
9,Turka,UA,11/7/2021 0:33,49.1541,23.0297,33.94,90,60,5.99
10,Vardo,NO,11/7/2021 0:33,70.3705,31.1107,34.52,58,100,14.65
11,Mataura,NZ,11/7/2021 0:33,-46.1927,168.8643,63.48,35,74,2.13
12,Yulara,AU,11/7/2021 0:33,-25.2406,130.9889,69.64,83,90,14.97
13,Axim,GH,11/7/2021 0:33,4.8699,-2.2405,78.17,88,59,4.83
14,Ushuaia,AR,11/7/2021 0:33,-54.8,-68.3,42.46,93,90,6.91
15,Los Llanos De Aridane,ES,11/7/2021 0:33,28.6585,-17.9182,64.15,72,75,10
16,Rikitea,PF,11/7/2021 0:33,-23.1203,-134.9692,75.72,81,96,15.17
17,Nanortalik,GL,11/7/2021 0:33,60.1432,-45.2371,31.3,74,100,11.43
18,Srednekolymsk,RU,11/7/2021 0:33,67.45,153.6833,4.77,94,100,7.9
19,Barrow,US,11/7/2021 0:33,71.2906,-156.7887,19.42,86,90,10.36
20,Busselton,AU,11/7/2021 0:33,-33.65,115.3333,57.04,51,13,7.36
21,Conceicao Da Barra,BR,11/7/2021 0:31,-18.5933,-39.7322,71.17,81,39,5.95
22,Katherine,AU,11/7/2021 0:33,-14.4667,132.2667,79.12,89,40,5.75
23,Albany,US,11/7/2021 0:31,42.6001,-73.9662,38.41,75,0,2.46
24,Acajutla,SV,11/7/2021 0:33,13.5928,-89.8275,86.34,71,17,6.06
25,Matara,LK,11/7/2021 0:33,5.9485,80.5353,76.33,91,100,12.84
26,Takoradi,GH,11/7/2021 0:33,4.8845,-1.7554,78.26,87,99,5.17
27,Sept-Iles,CA,11/7/2021 0:30,50.2001,-66.3821,44.06,75,75,8.99
28,Butaritari,KI,11/7/2021 0:33,3.0707,172.7902,82.33,67,27,15.75
29,Hilo,US,11/7/2021 0:33,19.7297,-155.09,80.33,71,75,6.91
30,Luderitz,NA,11/7/2021 0:33,-26.6481,15.1594,57.38,74,5,17.78
31,Jamestown,US,11/7/2021 0:32,42.097,-79.2353,44.24,60,1,1.99
32,Phalodi,IN,11/7/2021 0:33,27.1333,72.3667,71.67,28,41,1.86
33,Sur,OM,11/7/2021 0:33,22.5667,59.5289,74.75,54,0,7.54
34,Pevek,RU,11/7/2021 0:33,69.7008,170.3133,2.44,79,100,11.83
35,Linqiong,CN,11/7/2021 0:33,30.4159,103.4609,40.82,85,100,10.25
36,Carnarvon,AU,11/7/2021 0:33,-24.8667,113.6333,68.07,68,40,21.85
37,Hobart,AU,11/7/2021 0:30,-42.8794,147.3294,60.12,60,75,1.99
38,Clyde River,CA,11/7/2021 0:33,70.4692,-68.5914,6.44,89,48,4.74
39,Faanui,PF,11/7/2021 0:33,-16.4833,-151.75,80.37,69,98,4.12
40,Maldonado,UY,11/7/2021 0:34,-34.6667,-54.9167,57.22,88,2,2.59
41,Murdochville,CA,11/7/2021 0:34,48.9583,-65.5006,41.88,90,95,5.73
42,Manoharpur,IN,11/7/2021 0:34,27.3,75.95,65.35,35,11,3.2
43,Ginda,IN,11/7/2021 0:34,30.6945,78.4932,46.02,29,0,7.81
44,East London,ZA,11/7/2021 0:34,-33.0153,27.9116,64.26,90,100,3.24
45,Dukhovnitskoye,RU,11/7/2021 0:34,52.4828,48.2137,41.41,88,100,18.92
46,Gazojak,TM,11/7/2021 0:34,41.1875,61.4036,33.49,18,0,6.26
47,Kaitangata,NZ,11/7/2021 0:34,-46.2817,169.8464,58.93,72,100,7.2
48,Husavik,IS,11/7/2021 0:35,66.0449,-17.3389,33.71,98,100,7.47
49,Klaksvik,FO,11/7/2021 0:35,62.2266,-6.589,47.32,96,100,24.2
50,Tuatapere,NZ,11/7/2021 0:35,-46.1333,167.6833,63.82,52,100,6.24
51,Sao Filipe,CV,11/7/2021 0:35,14.8961,-24.4956,78.75,72,57,9.33
52,Mar Del Plata,AR,11/7/2021 0:30,-38.0023,-57.5575,53.87,78,100,1.99
53,Bara,NG,11/7/2021 0:35,10.3744,10.7288,77.04,31,100,4.07
54,Bethel,US,11/7/2021 0:33,41.3712,-73.414,42.66,74,1,3.44
55,Kilindoni,TZ,11/7/2021 0:35,-7.9139,39.6668,79.05,77,42,8.37
56,Atambua,ID,11/7/2021 0:35,-9.1061,124.8925,86.45,54,81,1.88
57,San Policarpo,PH,11/7/2021 0:35,12.1791,125.5072,82.26,84,100,12.1
58,Hornepayne,CA,11/7/2021 0:35,49.2138,-84.7705,44.2,88,100,7.43
59,Tuktoyaktuk,CA,11/7/2021 0:35,69.4541,-133.0374,9.03,91,12,8.7
60,Cidreira,BR,11/7/2021 0:35,-30.1811,-50.2056,64.83,69,100,11.72
61,Porto Novo,BJ,11/7/2021 0:35,6.4965,2.6036,80.42,84,100,4.79
62,Wanning,CN,11/7/2021 0:35,18.8003,110.3967,79.09,76,85,3.65
63,Chernyshevsk,RU,11/7/2021 0:35,52.5243,117.0174,16.12,60,11,6.53
64,Atuona,PF,11/7/2021 0:35,-9.8,-139.0333,78.22,67,5,15.3
65,Cape Town,ZA,11/7/2021 0:35,-33.9258,18.4232,58.26,75,0,1.99
66,Boddam,GB,11/7/2021 0:35,57.4667,-1.7833,45.72,65,20,35.54
67,Piacabucu,BR,11/7/2021 0:31,-10.4056,-36.4344,77.72,87,100,9.53
68,Tucuman,AR,11/7/2021 0:31,-26.8241,-65.2226,64.4,68,75,3.44
69,Bengkulu,ID,11/7/2021 0:35,-3.8004,102.2655,73.42,95,100,15.7
70,Grand Gaube,MU,11/7/2021 0:35,-20.0064,57.6608,75.6,80,0,3
71,Camacha,PT,11/7/2021 0:35,33.0833,-16.3333,65.16,63,40,19.57
72,Reguengos De Monsaraz,PT,11/7/2021 0:35,38.4253,-7.5349,44.28,57,0,4.25
73,Mujiayingzi,CN,11/7/2021 0:35,42.1167,118.7833,17.33,95,100,8.41
74,Souillac,MU,11/7/2021 0:35,-20.5167,57.5167,75.58,83,40,5.75
75,Cabo San Lucas,MX,11/7/2021 0:35,22.8909,-109.9124,81.05,68,30,6.11
76,Torbay,CA,11/7/2021 0:30,47.6666,-52.7314,41.27,82,90,12.66
77,Kapaa,US,11/7/2021 0:35,22.0752,-159.319,84.18,73,40,3
78,Manali,IN,11/7/2021 0:35,13.1667,80.2667,77.09,91,100,14.14
79,Kodiak,US,11/7/2021 0:35,57.79,-152.4072,33.4,63,9,9.71
80,Provideniya,RU,11/7/2021 0:35,64.3833,-173.3,20.8,89,98,7.65
81,Moerai,PF,11/7/2021 0:35,-22.4333,-151.3333,71.47,62,1,13.47
82,Nueva Loja,EC,11/7/2021 0:35,0.0847,-76.8828,72.23,92,70,1.77
83,Fuxin,CN,11/7/2021 0:35,42.0156,121.6589,21.76,93,100,13.91
84,Doha,QA,11/7/2021 0:32,25.2867,51.5333,78.78,57,0,3.44
85,Avarua,CK,11/7/2021 0:35,-21.2078,-159.775,77.05,65,75,16.11
86,Joroan,PH,11/7/2021 0:35,13.4885,123.6189,79.88,83,100,3.83
87,Zyryanka,RU,11/7/2021 0:35,65.75,150.85,9.1,90,100,15.95
88,Lar,IN,11/7/2021 0:35,26.2039,83.9717,63.88,66,6,1.97
89,Vaini,TO,11/7/2021 0:35,-21.2,-175.2,82.56,89,75,6.91
90,Vila Franca Do Campo,PT,11/7/2021 0:35,37.7167,-25.4333,69.19,81,4,15.79
91,Mehamn,NO,11/7/2021 0:35,71.0357,27.8492,31.17,68,99,7.63
92,Lagoa,PT,11/7/2021 0:35,39.05,-27.9833,68.38,85,47,28.97
93,Saint-Philippe,RE,11/7/2021 0:36,-21.3585,55.7679,72.99,81,38,8.93
94,Awbari,LY,11/7/2021 0:36,26.5921,12.7805,71.47,24,0,12.53
95,Mount Isa,AU,11/7/2021 0:36,-20.7333,139.5,87.57,42,75,10.36
96,Port-Cartier,CA,11/7/2021 0:36,50.0334,-66.8654,43.75,84,91,8.55
97,Luanda,AO,11/7/2021 0:36,-8.8368,13.2343,75.22,82,100,5.66
98,Bilma,NE,11/7/2021 0:36,18.6853,12.9164,76.14,16,100,4.18
99,Hit,IQ,11/7/2021 0:36,33.6416,42.8251,66.16,35,0,10.85
100,Waipawa,NZ,11/7/2021 0:36,-41.4122,175.5153,62.29,90,100,4.94
101,Hobyo,SO,11/7/2021 0:36,5.3505,48.5268,79.3,67,76,5.3
